timestamp,chassis.power_fb.power @ 0x2001C568,chassis.motor_3508[0].fb_current @ 0x2001C1F0,chassis.motor_3508[0].fb_speed @ 0x2001C1E8,chassis.motor_3508[0].give_current @ 0x2001C21C,chassis.power_prediction.model_power[0] @ 0x2001C5B4
15.073621,14.689679,-1.243896,-28.323305,-0.986500,15.320555
15.076994,16.843586,-0.916748,-28.486900,-0.950517,14.389616
15.082413,14.176985,-1.071777,-28.361477,-0.866904,14.426811
15.085769,15.771267,-1.381836,-28.350569,-0.624616,13.357655
15.092832,15.771267,-0.817871,-28.394196,-0.787849,13.982679
15.096372,15.771267,-0.456543,-28.312401,-0.744588,13.461048
15.099611,13.274574,-0.885010,-28.268776,-0.639904,12.370434
15.111181,13.226283,-0.122070,-28.208792,-0.753514,13.454611
15.115293,13.737128,-0.314941,-28.208792,-0.670634,12.886604
15.120670,11.109808,-0.991211,-28.426916,-0.564305,11.730805
15.126991,12.336897,-0.563965,-28.257870,-0.753168,13.444217
15.132347,10.689939,-0.317383,-28.405102,-0.324928,11.943544
15.138968,10.689939,0.102539,-28.634130,-0.361654,10.739628
15.143408,10.689939,-0.123291,-28.519617,-0.201340,9.785990
15.149961,10.689939,-0.721436,-28.197886,-0.336039,10.347945
15.155968,10.689939,-0.258789,-28.143354,-0.410753,10.535259
15.162209,10.689939,-0.589600,-27.947044,-0.706313,12.915490
15.168193,10.689939,-0.952148,-28.154263,-0.780302,13.617755
15.176026,12.077589,-0.843506,-28.072466,-0.872646,14.255336
15.179521,14.135295,-1.138916,-28.121542,-0.921365,14.660982
15.183417,13.106461,-0.454102,-28.028841,-1.113867,15.738564
15.188988,16.277641,-1.292725,-28.099731,-1.298187,16.169847
15.195027,17.351147,-1.284180,-28.121542,-1.158773,16.226925
15.198773,16.080368,-1.202393,-28.186979,-1.125530,16.683561
15.216577,18.167431,-0.987549,-28.437819,-1.010838,15.588371
15.220130,17.895523,-1.228027,-28.486900,-0.883608,15.514807
15.226292,13.918508,-1.343994,-28.601414,-0.770735,13.826493
15.232817,13.918508,-0.447998,-28.486900,-0.754017,13.344821
15.236777,13.918508,-1.219482,-28.475992,-0.579883,12.327902
15.240056,13.918508,-0.974121,-28.197886,-0.886532,14.453999
15.243525,13.918508,-0.902100,-28.072466,-0.889990,14.386458
15.246884,13.918508,-1.236572,-28.061558,-0.886725,14.197114
15.252428,13.918508,-1.292725,-28.061558,-1.099762,15.971673
15.255985,13.918508,-0.584717,-28.017935,-1.130483,16.171009
15.259262,13.918508,-0.682373,-28.154263,-1.262455,16.153217
15.264875,13.918508,-1.402588,-28.099731,-1.335169,16.913780
15.268279,13.918508,-1.241455,-28.208792,-1.407155,17.290127
15.275194,13.918508,-1.557617,-28.279682,-1.164135,16.718588
15.279225,13.918508,-1.240234,-28.361477,-1.172500,16.774292
15.285732,13.918508,-0.845947,-28.475992,-1.080895,16.159189
15.289423,13.918508,-0.590820,-28.541431,-0.880405,14.665035
15.293968,13.918508,-1.333008,-28.405102,-0.798073,15.613681
15.300181,13.918508,-1.003418,-28.383291,-0.671211,14.067877
15.309270,13.918508,-0.480957,-28.323305,-0.794636,13.807163
15.313972,13.918508,-0.396729,-28.225153,-0.676494,12.972551
15.317464,13.918508,-0.272217,-28.225153,-0.710309,13.193874
15.323228,13.918508,-0.836182,-28.186979,-0.859361,14.239697
15.327755,13.918508,-1.127930,-28.143354,-0.906989,14.568363
15.331696,13.918508,-0.718994,-28.176073,-0.952436,14.938532
15.335443,13.918508,-1.044922,-28.110638,-1.066592,15.766284
15.339454,13.918508,-0.767822,-28.334211,-0.909553,14.744265
15.345217,13.918508,-0.576172,-28.541431,-0.762322,13.308811
15.352196,13.066502,-0.966797,-28.612322,-0.540390,12.112904
15.357410,13.066502,-0.721436,-28.666849,-0.134688,10.348719
15.363465,13.066502,-0.561523,-28.563240,-0.201949,9.544446
15.369718,13.066502,0.019531,-28.312401,-0.304839,9.581609
15.376980,13.066502,0.103760,-28.268776,-0.182695,8.764568
15.381788,13.066502,-0.034180,-28.132448,-0.367195,10.515637
15.385496,13.066502,-0.046387,-28.236055,-0.204155,9.999872
15.392000,13.066502,-0.202637,-28.290588,-0.347036,9.663262
15.396664,13.066502,-0.545654,-28.197886,-0.403929,11.792898
15.400449,13.066502,-0.727539,-28.143354,-0.430473,10.991511
15.403870,13.066502,-0.518799,-28.268776,-0.497737,11.105536
15.412649,13.066502,0.000000,-28.154263,-0.279443,12.013414
15.423713,10.447647,0.018311,-28.334211,-0.326353,10.724011
15.433820,11.973568,-0.134277,-28.165165,-0.530485,11.750134
15.439211,8.825294,-0.136719,-28.154263,-0.376171,10.652618
15.443197,11.408617,-0.798340,-28.061558,-0.583392,12.288139
15.448491,10.544201,-0.764160,-28.099731,-0.647199,12.337950
15.454985,11.329639,-0.052490,-28.383291,-0.507245,11.697464
15.458987,11.329639,-0.853271,-28.225153,-0.780990,13.622951
15.467628,11.329639,-0.587158,-28.246962,-0.734106,13.335182
15.471450,11.329639,-0.705566,-28.246962,-0.718844,13.219912
15.478018,11.329639,-0.584717,-28.143354,-0.751023,13.463045
15.486434,11.329639,-0.638428,-28.197886,-0.843008,14.159973
