timestamp,chassis.power_fb.power @ 0x200009CC,chassis.power_prediction.total_power_raw @ 0x20000A98,chassis.power_prediction.applied_quadratic_raw @ 0x20000A88,chassis.power_prediction.applied_linear_power @ 0x20000A90
6.882143,73.060318,70.571304,1.506189,52.470772
6.884693,72.870384,65.373672,1.245543,48.123405
6.889150,73.015732,66.328354,1.308440,51.251381
6.891689,72.275154,67.568535,1.291146,49.618008
6.895762,72.880608,68.005959,1.393701,53.869461
6.901472,72.907639,72.372551,1.499733,55.935848
6.904323,72.907639,70.753029,1.216901,49.867565
6.908421,72.907639,71.930855,1.323624,53.275032
6.910986,72.907639,71.110527,1.260448,51.913612
6.913710,72.907639,70.607376,1.202867,51.465641
6.916333,72.907639,72.262268,1.424843,53.367805
6.919015,72.907639,73.662773,1.580454,52.472622
6.924246,72.907639,68.293640,1.204700,49.294914
6.926767,72.907639,71.727730,1.299228,52.535175
6.933100,72.907639,71.468353,1.319098,54.384956
6.937524,72.907639,73.793930,1.571275,57.166145
6.940055,72.907639,72.397705,1.391397,53.009258
6.943041,72.907639,76.326996,1.523554,56.583603
6.951024,72.907639,73.058495,1.410671,54.278732
6.953574,79.672646,74.067688,1.589527,54.769520
6.957784,79.669846,76.501778,1.529693,56.568054
6.960503,76.750565,72.319984,1.406622,50.785675
6.964401,79.861885,73.419449,1.378412,54.120476
6.967522,79.478714,74.195206,1.516450,56.692368
6.970244,82.397835,79.989449,1.806027,59.615349
6.972815,84.023956,83.243942,1.931641,61.056946
6.975386,84.478989,81.377663,1.491038,55.329041
6.978354,81.953247,74.162628,1.371641,53.792179
6.980949,82.166290,73.529663,1.337667,58.133995
6.983651,81.348785,78.711449,1.493468,57.357742
6.986225,81.045792,76.932953,1.447512,56.354141
6.989236,82.762550,76.438255,1.553815,57.240154
6.991962,83.052132,77.825340,1.528530,55.610580
6.995436,80.727074,76.268448,1.112267,50.505527
6.998041,81.450539,75.286469,1.283632,56.272804
7.001342,81.372070,77.121025,1.479157,57.153290
7.004012,82.860809,77.984207,1.496362,55.339157
7.007890,82.099274,77.625298,1.504272,56.577156
7.010417,81.128654,76.731689,1.300202,52.027634
7.014869,81.397102,74.429924,1.304007,54.075325
7.017482,79.573822,74.843094,1.283564,54.981918
7.021711,79.525192,76.332138,1.441265,56.112694
7.024174,80.260239,78.350082,1.404104,56.546814
7.028610,81.037773,77.994202,1.304614,56.458420
7.034732,80.496300,77.502876,1.322670,58.053066
7.041427,85.795067,80.376740,1.450217,59.204964
7.046129,83.399010,77.160873,1.333284,57.597633
7.049506,82.683327,79.694412,1.363482,57.756531
7.052763,84.537247,79.320007,1.350994,56.548603
7.055424,85.127029,78.541901,1.383047,57.891106
7.057976,80.790588,78.578728,1.331644,56.453949
7.060623,84.706726,78.115334,1.190742,54.540344
7.064019,88.003250,76.698578,1.168188,56.177956
7.067548,82.258530,78.458206,1.244085,54.882038
7.070760,82.366005,77.579422,1.302483,57.042011
7.073343,82.962143,79.488770,1.390109,55.468555
7.077420,82.984970,77.934662,1.210112,56.223854
7.080009,84.657791,77.667183,1.238568,55.445679
7.084425,79.431503,78.040962,1.211618,52.870415
7.087421,83.873863,75.618195,1.131481,51.833580
7.090199,82.117294,74.811340,1.122042,52.173103
7.094478,77.262337,74.668015,1.145976,51.727123
7.097000,77.983025,72.520706,1.017516,51.557953
7.099684,81.594429,74.564522,1.099144,49.231720
7.104834,78.194466,77.429810,1.218258,53.884415
7.110041,80.374985,76.961304,1.118880,49.052879
7.113117,80.689728,72.184181,0.909827,52.512218
7.115747,80.023705,75.815094,1.205741,56.257774
7.120407,80.710579,78.474594,1.124655,54.199440
7.123976,82.367348,79.800400,1.231240,56.266647
7.126887,81.510635,78.461845,1.156793,56.072720
7.135241,84.271606,82.603607,1.475625,61.016739
7.140447,85.710197,85.932968,1.442050,61.941505
7.143021,87.082138,85.787605,1.230545,59.174652
7.147096,87.514679,84.485916,1.343516,59.831947
7.149667,87.822701,84.071442,1.342166,63.438026
7.153479,88.418686,87.958801,1.496174,61.457485
7.156436,91.285172,87.567787,1.546101,62.967674
7.159054,89.637169,87.996246,1.472908,59.144226
7.161681,89.522034,83.815872,1.322821,58.441608
7.164223,88.370926,86.369301,1.406991,61.491219
7.166693,89.302185,86.803192,1.526407,60.569283
7.169403,92.656624,85.539612,1.559920,63.413582
7.171995,91.706360,92.713898,1.729407,67.545692
7.175055,91.721283,93.453033,1.713194,67.851257
7.177671,93.092361,93.049950,1.433161,63.076965
7.180324,95.654259,90.406517,1.573237,65.033646
7.182917,95.594276,90.840897,1.590816,65.792084
7.185563,93.923401,91.268250,1.657054,65.390869
7.188136,96.725449,90.514229,1.545110,65.000038
7.190767,96.725449,88.472824,1.403563,61.333977
7.193972,96.725449,90.277771,1.461729,64.572372
7.196638,96.725449,92.048927,1.681589,66.895264
7.199258,96.725449,93.795410,1.542416,68.115334
7.204828,96.725449,91.815720,1.550213,67.364525
7.207393,93.899620,94.920807,1.592775,67.272339
7.211739,96.582870,93.414932,1.482393,64.589333
7.214517,96.074959,93.036095,1.595109,66.281761
7.218636,94.042336,92.057549,1.552824,67.001762
7.221403,96.382957,93.481903,1.346848,64.025581
7.226408,99.371193,89.086067,1.383048,62.579121
7.229106,95.787003,92.700851,1.602139,65.752579
7.232217,96.421059,92.532402,1.449885,65.731400
7.237979,94.532280,93.547836,1.430822,66.779411
7.240632,94.662064,93.453415,1.531939,66.365707
7.243563,94.899773,93.289726,1.572924,66.286308
7.246138,97.501076,91.659866,1.443673,64.530853
7.251343,95.453720,90.108040,1.392576,65.354179
7.254824,97.926239,91.605553,1.412243,63.461109
7.257329,97.231979,90.607117,1.394826,63.701038
7.260132,99.118713,89.356033,1.336988,62.247932
7.262709,95.302788,91.768158,1.398333,64.514473
7.266764,95.302788,91.795609,1.346228,64.162682
7.269363,96.205223,90.973534,1.431195,63.432137
7.274640,95.389267,91.400681,1.471497,64.563637
7.277406,94.198997,92.373100,1.460267,66.381218
7.283354,91.504562,94.374718,1.623278,66.160767
7.285985,95.241104,91.971031,1.504454,63.765976
7.288635,98.523102,89.462509,1.291429,61.886902
7.291212,97.555168,89.857239,1.300045,63.914665
7.295114,95.306931,91.189247,1.299625,63.375397
7.298343,94.670906,91.450188,1.303982,63.260750
7.300981,93.171539,92.888077,1.460915,63.730541
7.303622,91.828171,92.235069,1.452034,65.421913
7.306139,91.640366,94.302620,1.510583,65.541115
7.308722,95.450150,91.901985,1.387954,63.022545
7.312012,95.580948,91.536095,1.385923,62.686924
7.314513,95.818268,91.428474,1.427047,61.284611
7.317514,97.391426,90.104111,1.258076,61.186901
7.320173,96.423965,89.533524,1.204101,60.708229
7.329937,97.348877,89.520531,1.185589,60.512894
7.333353,97.348877,89.577896,1.158320,60.427189
7.342826,97.348877,89.685623,1.174262,63.812290
7.345424,95.810883,93.196999,1.158368,62.079826
7.348337,96.038979,90.875305,1.076564,60.480965
7.351528,94.814186,89.563728,1.117618,62.484669
7.354023,92.237564,93.971474,1.213719,64.533554
7.356593,93.189590,93.257881,1.197410,63.867607
7.359110,95.420837,92.649277,1.167044,61.934330
7.361683,92.776009,93.773697,1.202823,64.077606
7.364676,91.546875,95.000000,1.266279,64.624252
7.367345,95.696503,94.497322,1.108219,61.844257
7.369978,100.172256,87.505127,0.978977,57.737576
7.372604,98.899414,87.732117,0.990214,58.197773
7.375146,96.900047,89.560730,0.975818,59.744873
7.377961,96.900047,89.276749,0.990962,59.616570
7.380497,94.228661,91.940277,1.087193,62.157082
7.383029,90.677124,93.104424,1.098804,61.053032
7.389389,93.726852,92.884735,1.132358,60.370773
7.393628,97.237183,90.393631,0.967797,58.712448
7.396331,96.287674,90.169579,1.045230,60.194271
7.400842,91.857117,94.587845,1.210463,62.175148
7.403401,95.754395,89.784676,1.015912,61.426826
7.407433,92.483223,91.548103,1.137683,63.690399
7.409968,92.228477,94.563019,1.179076,64.114075
7.412680,96.021378,89.414574,0.983329,60.699821
7.415331,91.620178,91.167412,1.163399,64.372002
